25 Arp 2025 16:00 Tournament A17. league 700-800								
21:00	gr	Hampejs V	 	818		3 : 2	3-11 11-9 11-9 6-11 11-9	+5.8
20:33	gr	Nohejl V 2005	 	789		3 : 1	11-7 11-9 9-11 12-10	7
18 Mar 2025 08:00 Tournament A17. league 700-800								
		Zuzanek J		772	1 place			+26.6
		Opponent		Rat.	Result			Delta
11:34	Final	Sucharda Ja	 	790		3 : 0	11-4 11-4 11-8	+9.5
10:32	gr	Hlawatschke A	 	790		3 : 2	13-11 11-3 7-11 5-11 11-8	+4.7
9:31	gr	Klement M	 	785		3 : 2	11-7 9-11 13-15 12-10 11-7	+4.5
8:30	gr	Sucharda Ja	 	790		3 : 1	10-12 11-8 11-3 11-6	+7.1
16 Mar 2025 16:00 Tournament A17. league 700-800								
		Zuzanek J		782	4 place			-10.3
		Opponent		Rat.	Result			Delta
19:00	3rd	Sobisek M	 	807		2 : 3	7-11 6-11 11-8 11-6 9-11	-3
18:00	gr	Nohejl V 2005	 	809		3 : 2	12-10 11-9 5-11 7-11 11-9	5
17:30	gr	Just F	 	778		1 : 3	3-11 11-8 7-11 9-11	-6.2
16:00	gr	Sobisek M	 	807		0 : 3	9-11 8-11 6-11	-6.1
15 Mar 2025 20:00 Tournament A14. league 800-900								
		Zuzanek J		809	4 place			-26.3
		Opponent		Rat.	Result			Delta
23:07	3rd	Klement M	 	801		0 : 3	9-11 8-11 9-11	-8.7
22:03	gr	Pacha R	 	816		0 : 3	7-11 10-12 9-11	-7.4
21:00	gr	Klement M	 	801		1 : 3	12-14 10-12 11-6 1-11	-6.5
20:30	gr	Louda Ji	 	815		2 : 3	8-11 13-11 11-8 10-12 7-11	-3.7
14 Mar 2025 12:00 Tournament A12. league 700-800								
		Zuzanek J		807	3 place			2
		Opponent		Rat.	Result			Delta
15:00	3rd	Just F	 	799		3 : 0	11-7 11-4 12-10	+7.3
14:00	gr	Holik T	 	793		2 : 3	11-8 11-6 7-11 6-11 5-11	-4.6
13:30	gr	Pozarsky J	 	786		3 : 2	9-11 11-3 13-11 9-11 11-7	+3.2
12:00	gr	Just F	 	799		2 : 3	6-11 11-6 11-8 11-13 8-11	-4.3
13 Mar 2025 00:00 Tournament A12. league 700-800								
		Zuzanek J		802	2 place			-4.7
		Opponent		Rat.	Result			Delta
